GROUP,TID,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL
FLDI,FLDI#POWER_TO_PIXEL_RATIO#PTPR_5,pos_y,mtcp_debug,5000,,,,,,,
FLDI,FLDI#IMAGE_DATA#Picture_5,Picture,mtcp_debug,5000,D:\MyTest\MTMS_DATA\POST\P2C3.tif,,,,,,
FLDI,FLDI#SEND#End Fldi_5,End Fldi,uploadmtcp,15000,FLDI,,,,,,
FLDI,FLDI#IMG_INDEX#INDEX_6,index,mtcp_debug,5000,6,,,,,,
FLDI,FLDI#IMG_WIDTH#WIDTH_6,width,mtcp_debug,5000,3296,,,,,,
FLDI,FLDI#IMG_HEIGHT#HEIGHT_6,Height,mtcp_debug,5000,2472,,,,,,
FLDI,FLDI#POS_X#X_6,pos_x,mtcp_debug,5000,2143,,,,,,
FLDI,FLDI#POS_Y#Y_6,pos_y,mtcp_debug,5000,1085,,,,,,
FLDI,FLDI#POWER_TO_PIXEL_RATIO#PTPR_6,pos_y,mtcp_debug,5000,,,,,,,
FLDI,FLDI#IMAGE_DATA#Picture_6,Picture,mtcp_debug,5000,D:\MyTest\MTMS_DATA\POST\P3C1.tif,,,,,,
FLDI,FLDI#SEND#End Fldi_6,End Fldi,uploadmtcp,15000,FLDI,,,,,,
FLDI,FLDI#IMG_INDEX#INDEX_7,index,mtcp_debug,5000,7,,,,,,
FLDI,FLDI#IMG_WIDTH#WIDTH_7,width,mtcp_debug,5000,3296,,,,,,
FLDI,FLDI#IMG_HEIGHT#HEIGHT_7,Height,mtcp_debug,5000,2472,,,,,,
FLDI,FLDI#POS_X#X_7,pos_x,mtcp_debug,5000,2141,,,,,,
FLDI,FLDI#POS_Y#Y_7,pos_y,mtcp_debug,5000,1439,,,,,,
FLDI,FLDI#POWER_TO_PIXEL_RATIO#PTPR_7,pos_y,mtcp_debug,5000,,,,,,,
FLDI,FLDI#IMAGE_DATA#Picture_7,Picture,mtcp_debug,5000,D:\MyTest\MTMS_DATA\POST\P3C2.tif,,,,,,
FLDI,FLDI#SEND#End Fldi_7,End Fldi,uploadmtcp,15000,FLDI,,,,,,
FLDI,FLDI#IMG_INDEX#INDEX_8,index,mtcp_debug,5000,8,,,,,,
FLDI,FLDI#IMG_WIDTH#WIDTH_8,width,mtcp_debug,5000,3296,,,,,,
FLDI,FLDI#IMG_HEIGHT#HEIGHT_8,Height,mtcp_debug,5000,2472,,,,,,
FLDI,FLDI#POS_X#X_8,pos_x,mtcp_debug,5000,2115,,,,,,
FLDI,FLDI#POS_Y#Y_8,pos_y,mtcp_debug,5000,1229,,,,,,
FLDI,FLDI#POWER_TO_PIXEL_RATIO#PTPR_8,pos_y,mtcp_debug,5000,,,,,,,
FLDI,FLDI#IMAGE_DATA#Picture_8,Picture,mtcp_debug,5000,D:\MyTest\MTMS_DATA\POST\P3C3.tif,,,,,,
FLDI,FLDI#SEND#End Fldi_8,End Fldi,uploadmtcp,15000,FLDI,,,,,,
FLDP,FLDP#IMG_CNT#NUMBER,,mtcp_debug,5000,9,,,,,,
FLDP,FLDP#FORWARD_I#Curr,,mtcp_debug,5000,0.68748295307159;0.68740594387054;0.6860343515873;0.68742517630259;0.68729043006897;0.68781021237373;0.68702093760173;0.68686695893606;0.68721827864647;0.68682845433553,,,,,,
FLDP,FLDP#FORWARD_V#Volt,,mtcp_debug,5000,2.0765919685364;2.074926674366;2.0822592973709;2.0783224105835;2.0786688327789;2.0794689059258;2.0749483108521;2.0775437355042;2.0781061649323;2.0742559432983,,,,,,
FLDP,FLDP#SOCKET_DCR#SOCKET_DCR,SOCKET_DCR,mtcp_debug,1000,235.9199971,,,,,,
FLDP,FLDP#LFNU_P_C#t_LF,lfnu LF,mtcp_debug,10000,13580.929569537;15166.195804312;17234.305993351;15885.080931797;17859.874585885;16218.614320305;18251.71785845;16130.22632838;17386.170501909,,,,,,
FLDP,FLDP#OPTICAL_POWER_AVG#t_Mean,lfnu Mean,mtcp_debug,10000,1.4079829694128e-007;1.3247969714951e-007;1.241018003465e-007;1.3170955507882e-007;1.2213728280544e-007;1.3042311321233e-007;1.2139568347974e-007;1.3088649635617e-007;1.2330383245363e-007,,,,,,
FLDP,FLDP#OPTICAL_POWER_MAX#t_Max,lfnu Max,mtcp_debug,10000,2.3839351115384e-007;2.3839351115384e-007;2.3839351115384e-007;2.3839351115384e-007;2.3839351115384e-007;2.3839351115384e-007;2.3839351115384e-007;2.3839351115384e-007;2.3839351115384e-007,,,,,,
FLDP,FLDP#OPTICAL_POWER_MIN#t_Min,lfnu Min,mtcp_debug,10000,4.7176335726817e-008;3.7472208447298e-008;2.4512671004118e-008;2.9171816962048e-008;2.0257855837258e-008;2.6865293989431e-008;1.6825534743248e-008;2.7270630198473e-008;2.4015365696073e-008,,,,,,
FLDP,FLDP#HFNU#hfnu,hfnu Mean,mtcp_debug,10000,1057.157585,,W,40,50,,
FLDP,FLDP#POWER_EFFICIENCY#ope,ope,mtcp_debug,10000,68.33873233,,,0,0.05,,
FLDP,FLDP#POWER_IN_FOV#Total Power,Total Power,mtcp_debug,10000,0.341693662,,,,,,
FLDP,FLDP#SCREEN_REFLECTANCE#SCREEN_REFLECTANCE,SCREEN_REFLECTANCE,mtcp_debug,10000,0.49,,,,,,
FLDP,FLDP#SEND#End Fldp,End Fldp,uploadmtcp,15000,FLDP,,,,,,
CTES,CTES#IMG_CNT#NUMBER,,mtcp_debug,5000,9,,,,,,
CTES,CTES#SCREEN_REFLECTANCE#SCREEN_REFLECTANCE,SCREEN_REFLECTANCE,mtcp_debug,10000,0.49,,,,,,
CTES,CTES#OPTICAL_POWER#Total Power,Total Power,mtcp_debug,10000,0.341693662,,W,0,0.1,,
CTES,CTES#AE_POWER#ae,ae energy,mtcp_debug,10000,0.001509784,,W,0,0.02,,
CTES,CTES#HOT_SPOT_THETA#ae,ae theta,mtcp_debug,10000,-7.399997711,,,,,,
CTES,CTES#HOT_SPOT_PHI#ae,ae phi,mtcp_debug,10000,-3.599998474,,,,,,
CTES,CTES#SEND#End Tsed,End Tsed,uploadmtcp,15000,CTES,,,,,,
Power Off,TSED#SEND#End Test,End Tsed,uploadmtcp,15000,TSED,,,,,,
