Version:,Intelligent Feeling Test Data 20160625V1
LineNumber:,11
StationNumber:,2
SerialNumber:,
Platfrom:,(null)
KeyName:,Y
Test MarketData:,115.776,293.506,156.732,0.534,80.547,1.203,76.185,113.880,0.702,1.236,1.255,153.356,0.486,0.000,0.000
FeelingCurve Data longht:1262
Trave,Force
0.385,149.348
0.386,149.460
0.387,149.575
0.388,149.653
0.389,149.734
0.390,149.816
0.391,149.902
0.392,149.990
0.393,150.080
0.394,150.174
0.395,150.270
0.396,150.370
0.397,150.471
0.398,150.575
0.399,150.681
0.400,150.787
0.401,150.894
0.402,151.001
0.403,151.108
0.404,151.213
0.405,151.317
0.406,151.419
0.407,151.519
0.408,151.618
0.409,151.714
0.410,151.808
0.411,151.900
0.412,151.991
0.413,152.080
0.414,152.168
0.415,152.255
0.416,152.341
0.417,152.427
0.418,152.511
0.419,152.594
0.420,152.677
0.421,152.758
0.422,152.837
0.423,152.915
0.424,152.990
0.425,153.063
0.426,153.133
0.427,153.200
0.428,153.264
0.429,153.325
0.430,153.382
0.431,153.436
0.432,153.487
0.433,153.535
0.434,153.601
0.435,153.661
0.436,153.697
0.437,153.731
0.438,153.763
0.439,153.793
0.440,153.820
0.441,153.846
0.442,153.869
0.443,153.891
0.444,153.911
0.445,153.930
0.446,153.946
0.447,153.962
0.448,153.977
0.449,153.999
0.450,154.021
0.451,154.037
0.452,154.055
0.453,154.076
0.454,154.099
0.455,154.126
0.456,154.156
0.457,154.190
0.458,154.228
0.459,154.294
0.460,154.367
0.461,154.420
0.462,154.476
0.463,154.534
0.464,154.594
0.465,154.654
0.466,154.716
0.467,154.809
0.468,154.901
0.469,154.962
0.470,155.022
0.471,155.081
0.472,155.140
0.473,155.197
0.474,155.252
0.475,155.306
0.476,155.358
0.477,155.433
0.478,155.502
0.479,155.544
0.480,155.583
0.481,155.619
0.482,155.651
0.483,155.679
0.484,155.703
0.485,155.724
0.486,155.742
0.487,155.756
0.488,155.769
0.489,155.781
0.490,155.791
0.491,155.802
0.492,155.814
0.493,155.826
0.494,155.841
0.495,155.857
0.496,155.877
0.497,155.899
0.498,155.923
0.499,155.951
0.500,155.981
0.501,156.012
0.502,156.045
0.503,156.079
0.504,156.114
0.505,156.148
0.506,156.182
0.507,156.215
0.508,156.247
0.509,156.277
0.510,156.306
0.511,156.334
0.512,156.361
0.513,156.386
0.514,156.411
0.515,156.435
0.516,156.458
0.517,156.481
0.518,156.504
0.519,156.526
0.520,156.548
0.521,156.569
0.522,156.590
0.523,156.610
0.524,156.628
0.525,156.654
0.526,156.677
0.527,156.690
0.528,156.701
0.529,156.710
0.530,156.718
0.531,156.724
0.532,156.729
0.533,156.731
0.534,156.732
0.535,156.731
0.536,156.728
0.537,156.724
0.538,156.717
0.539,156.707
0.540,156.696
0.541,156.681
0.542,156.664
0.543,156.644
0.544,156.621
0.545,156.581
0.546,156.536
0.547,156.503
0.548,156.469
0.549,156.434
0.550,156.398
0.551,156.362
0.552,156.327
0.553,156.294
0.554,156.262
0.555,156.232
0.556,156.204
0.557,156.167
0.558,156.134
0.559,156.116
0.560,156.099
0.561,156.083
0.562,156.069
0.563,156.055
0.564,156.042
0.565,156.028
0.566,156.013
0.567,155.990
0.568,155.964
0.569,155.944
0.570,155.923
0.571,155.901
0.572,155.877
0.573,155.851
0.574,155.823
0.575,155.792
0.576,155.760
0.577,155.724
0.578,155.686
0.579,155.623
0.580,155.552
0.581,155.499
0.582,155.443
0.583,155.383
0.584,155.318
0.585,155.249
0.586,155.177
0.587,155.102
0.588,155.025
0.589,154.945
0.590,154.865
0.591,154.784
0.592,154.704
0.593,154.626
0.594,154.549
0.595,154.440
0.596,154.338
0.597,154.275
0.598,154.217
0.599,154.164
0.600,154.115
0.601,154.071
0.602,154.032
0.603,153.997
0.604,153.966
0.605,153.939
0.606,153.915
0.607,153.894
0.608,153.876
0.609,153.861
0.610,153.848
0.611,153.837
0.612,153.827
0.613,153.819
0.614,153.813
0.615,153.804
0.616,153.797
0.617,153.792
0.618,153.787
0.619,153.781
0.620,153.774
0.621,153.766
0.622,153.757
0.623,153.745
0.624,153.732
0.625,153.718
0.626,153.701
0.627,153.683
0.628,153.664
0.629,153.643
0.630,153.622
0.631,153.599
0.632,153.576
0.633,153.542
0.634,153.508
0.635,153.486
0.636,153.464
0.637,153.444
0.638,153.423
0.639,153.404
0.640,153.384
0.641,153.365
0.642,153.346
0.643,153.326
